,trek_name,region,no_of_days,difficulty,distance,altitude,price,SD,description,Activity Name,Typical Season,Grade Classification
55,Snow Leopard Trek - Ladakh,Ladakh,10,4,40 KM,4400 mts.,65000,Leh to Leh,"
Brief Description 

                        Snow Leopard is the most enigmatic and elusive of all the world's large cats. A denizen of high mountain ranges, its presence is more often revealed by footprints in the snow but, as previous Nature trek groups can verify, with planning and luck it is possible to see this mythical mammal. With the aid of local trackers and guides this adventurous expedition goes in search of Snow Leopards amid the mountains of Hemis National Park in Ladakh. This is a physically demanding holiday but the rewards will be the truly spectacular mountain scenery of the ancient kingdom of Ladakh and a real chance of finding this high altitude predator as it follows the resident Bharal, or Blue Sheep, to more accessible lower elevations for the winter months.The snow leopard found singly, inhabiting the most inaccessible terrain of rugged mountains, preferably steep terrain broken by cliffs midges and gullies. In the winter their main attraction is the livestock nearby villages, because of high mountains covered by snow most of the wildlife descent to search of grassing and water. The Snow Leopard Trek in Ladakh is best-done between the months of December to March. Stay on this page for more information on the Ladakh Snow Leopard Trek.
                    
",Snow Leopard Trek - Ladakh,"Jan,Feb",Moderate
56,Rumtse to Tso Moriri Lake Trek,Ladakh,11,6,106 KM,5440 mts.,53300,Leh to Leh,"
Brief Description 

                        The legendary Rumtse to Tso Moiriri Lake Trek takes you through the highly untouched and supremely beautiful Changthang Valley of Ladakh. With a jaw-dropping length of 100 km and 6 staggering 5000M+ mountain passes and three high altitude oligotrophic lakes, the Rumtse to Tso Moriri Trek is unlike any other trek in Ladakh, the land of high passes and mountains. Rightly dubbed as a 4 season trek, meaning, you get to see all 4 seasons during the length of your trek, from snow-capped peaks within arm's length, meandering rivers, green-carpeted campsites, and barren desolate landscapes, this trek will test your endurance to the core. With lengthy walks, steep ascents and descents over passes, the Rumtse to Tso Moriri trek demands high physical fitness and one must be able to acclimatize properly to the high altitudes of Ladakh. The landscapes change shape from time to time with a cascade of colors that make them look like rainbow mountains. The area also hosts some of the rarest wildlife like Wild Asses, Blue Sheep, and Marmots which run around freely along with rare Snow Leopard spotting if one is lucky. The incomprehensibly massive valleys and unusual terrain of the Changthang valley of Ladakh are what makes the Rumtse to Tso Moiriri trek special. This region is known for the Changthang nomads with then Pashmina goats and Yaks. Stay on this page for more information on the trek - Itinerary, FAQs, Route, Temperature and Precipitation charts, Reviews and Pictures.
                    
",Rumtse Tsomoriri Trek,"Jun,Jul,Aug,Sep",Difficult
57,Mt. Nun Peak,Ladakh,23,8,64 KM,7135 mts.,220000,Leh to Leh,"
Brief Description 

If you are looking to transition from trekking peaks to climbing technical peaks, Mount Nun is your best bet. As the highest peak in the Zanskar Valley of Ladakh, Mount Nun is 7,135 meters of sheer energy. You can feel its strength from the very moment you lay your eyes on it. It continues to silently exude its authority by the way of its daunting structure, unnerving slopes, unannounced blizzards and the peculiar way that it holds you, sometimes gently but on others, decidedly not. This handsome mountain is part of the Nun Kun massif and shares its space with its shorter twin Mt. Kun (7, 077 M); separated from each other by a 4 km long snow plateau. The massif is located in Suru valley of the Kargil district about 250 km east of Srinagar.
Himalayas are an inexhaustible treasure house to which devotees of mountaineering have come for years to quench their thirst for exciting challenges. Amongst the many discovered and countless undiscovered peaks, stands Mt. Nun which draws climbers from across countries. A stepping stone for some and for some a challenge in and of itself, the mountain is a thing of beauty and does its share in lending you a dream. First scaled way back in 1953, it is a technical climb which requires navigating difficult terrain in extreme cold, with throes of violent winds being a bully - pushing you around in all directions.
The nature of the mountain, it's crevasse- riddled surface, it's very unnerving habit of changing face every hour thereby changing routes, elaborate glacial formations, high gradient ice walls, technical patches, knife-edge ridges, constantly changing weather, high altitude and strong winds make it a much tougher peak to climb than some other 7,000M peaks and is a very demanding peak. The mountain only welcomes a person with true grit and a heart of a team player.
Since it is a technical climb which requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature with one summit of over 6,500M to your credit is a necessity. 
Stay on this page for information on Mt. Nun expedition - Itinerary, Routes, FAQs, and eligibility criteria.

",Mt. Nun Peak,"Jul,Aug",Pro
58,Dzo Jongo (West) Peak with Markha Valley,Ladakh,12,6,72 KM,6240 mts.,48500,Leh to Leh,"
Brief Description 

                        Hidden like a mystery in plain view, Dzo Jongo is one magical peak. Starting from Leh, the trek takes you through the magnificent and arid Markha Valley. What's fascinating is that the peak stays hidden from view till you get to it's very base - the first 5 days of the trek keep you wondering whether the mountain in question actually exists or not. Does it actually exist? Yes it does! Is it gorgeous? Based on our recent experience, we'd say every bit worth the wait! 

From the dust storms of Markha Valley to the tent-flapping winds of its basecamp at 5,500M to the snow storms during summit push, Dzo Jongo West (6260M) is the perfect recipe for adventure. It's the right amount of challenging and technical, the right mix of extreme temperatures, and requires the right combination of skill and endurance for it to make it to the top of your 'must-have' experiences.

What's fascinating about the West face of Dzo Jongo (6260M) is that it's got easy bits of straight walking and it's got extremely scary sections with 80° ice walls. It's got trekking sections and it has got sections where you need to know exactly how to use your tools. It's got sections where you'll feel like it's a cake walk and it's got sections that will make you cry. This magnificent peak can get you brimming with self-confidence and just when you thought you got this, it throws something at you which will fill you with self-doubt. It's an extremely confusing internal and external journey but it's worth every bit of the conundrum for its spectacular views and the amount of learning it offers.

Stay on this page for more information on the peak.

                    
",Dzo Jongo Peak,"Jun,Jul,Aug,Sep",Difficult
59,Ghepan Ghat Lake Trek,Himachal Pradesh,5,4,28 KM,4146 mts.,11700,Sissu to Sissu,"
Brief Description 

Tucked away like a well-kept secret in the fascinating terrain of Lahaul, this 5-day trek is the right balance of a few bits of thrill with heaps of chill - all on the road less traveled (literally). This relatively easy trail, which hasn't been walked by many trekkers, takes you through narrow shepherd trails and holds all the features of a leisurely trek with neuron-activating view. Imagine ice hangs casually in the middle of a neon blue glacial lake in the backdrop of massive meadows littered with all kinds of colours.
Years after having traced the trail frequented by gaddis (shepherds) in the region, we led our first batch to this electrifying high-altitude glacial lake in July of 2021. Galvanic blue water, thick icebergs floating aimlessly around, and a carpet of colourful flora got us and our trekkers swooning And we can’t wait to have more people experience what we did on this beautiful trail. Until sometime ago, reaching Lahaul was more perilous than the trek itself. Now, the Atal Tunnel has opened up a world of possibilities for trekking in the region, making Ghepan Ghat more accessible than ever before.
Originating from the remote village of Sissu which lies a couple of hours drive away from Manali, the lake rests at an altitude of 4,140M. This moderately difficult trek takes you through exposed terrain with high ascents, steep descents through extremely rugged and untouched trails hidden even from most local guides in the region.
The best time to do Ghepan Ghat trek is between May and October. Stay on this page for more information on the trek.

",Ghepan Ghat Trek,"Jul,Aug,Sep",Moderate
60,Mt. CB 13 and CB 14 Expedition,Himachal Pradesh,16,7,17 KM,6264 mts.,85000,Manali to Manali,"
Brief Description 

                        CB (Chandra Bhaga) are a group of peaks located in the Lahaul massif. Mt. CB 13 (6264M) and Mt. CB 14 (6078M) are two beautiful peaks that rise high overlooking the beautiful Chandra Tal Lake near Batal. The summits of these two peaks present to you fantastic views of the entire Kunzum range, the Chandra Tal lake and the gushing Chandra River. Known to be two of the best peaks to climb in this region of Himachal Pradesh, Mt. CB 13 and CB 14 expedition is meant only for experienced trekkers and aspiring mountaineers who wish to take it up a notch and experience a thrilling climb to the summit. The route to these twin peaks is infested with crevasses, boulders and a few technical sections before presenting you a steep climb to the summit. Prior technical knowledge of the use of jumars, crampons and rope-up procedures is a must to successfully undertake the trek. Even though the peaks are not as high as their counterparts in Uttarakhand, Mt. CB 13 and CB 14 must not be taken lightly and thus one must be physically and mentally fit to undertake this expedition. June to October is the best season for this expedition. Stay on this page for more information on Mt. CB 13 and CB 14 expedition.
                    
",Mt. CB 13 & CB 14 Peak,"Jun,Jul,Aug,Sep",Pro
61,Khopra Ridge Trek ,Nepal,10,4,50 KM,3900 mts.,27950,Pokhara to Pokhara,"
Brief Description 

                        The Khopra Ridge trek is a unique trek in the land of the highest Mountains in the world, Nepal. Different from the other treks in Nepal in terms of changing sceneries, mountain views, and the most unique aspect of walking on a ridge which gives a spectacular ""on top of the world"" feeling. The highlight of the trek is the sunrise view from Khopra ridge which is towering at a height of 3900 meters from where one can spot not one or two, but 23 major Himalayan peaks. The trail takes you through alpine meadows, dense forests, beautiful Rhododendron abundant sections, and pristine villages based in the Annapurna range of mountains. Unlike the popular and crowd favorite Annapurna Base Camp Trek, the Khopra Ridge Trek takes you away from the crowd and presents you with two major points: Khopra Ridge, and Khayar Lake, a very rare find in a single trek. This is a moderate grade trek which demands a good fitness level due to its fair share of ascends and descends. The Khopra Ridge Trek is perfect for anyone looking for an offbeat trekking trail in Nepal along with stunning mountain views and beautiful landscapes. Stay on this page for more info - Khopra Ridge Trek, Route Map, Itinerary, Photos, Videos, and Reviews that will help you plan your trek. Head to our FAQ section for the detailed packing list specific to Nepal treks.
                    
",Khopra Ridge Trek,"Mar,Apr,May,Jun,Sep,Oct,Nov,Dec",Moderate
62,Everest Base Camp with Gokyo Ri and Gokyo Lakes,Nepal,17,5,128 KM,5545 mts.,68000,Kathmandu to Kathmandu,"
Brief Description 

                        The Everest Base Camp trek goes to the south base camp of Mt. Everest offering views of Everest, Lhotse, Makalu, Nuptse, Pumori, and Ama Dablam. Apart from trekking for two weeks through the beautiful Khumbu region to the base camp of the highest mountain in the world, the trek also takes you through unique Nepali villages and to remote mountain monasteries. The Gokyo Lakes variation of the classic EBC trail adds an ascent of Gokyo Ri peak, Cho La pass and five glacial lakes! Head to our FAQ section for the detailed packing list specific to Nepal treks.
                    
",Everest Base Camp with Gokyo Ri,"Mar,Apr,May,Jun,Sep,Oct,Nov,Dec",Difficult
63,Nag Tibba Summer Hike,Uttarakhand,2,1,14 KM,3004 mts.,3350,Pantwari to Pantwari,"
Brief Description 

                        Nag Tibba ('Serpent's Peak'), 3,022 meters (9,915 ft) is an ideal weekend trek suited for most people looking for a refresher from the boring routine. This trek can be done throughout the year. If you are not looking for the circular itinerary, 2 days are sufficient to complete this trek. Given its easy level of challenge, anyone with a normal fitness can do this trek. The trek offers some of the best camping locations. The route goes through thick deodar forest. With only a day into the trek, one reaches to a very remote region with almost no habitation, a perfect camping site. A great refresher and trailer for new trekkers who are yet to see the full movie of a long trek. The Nag Tibba summit gives trekkers with panoramic views of majestic mountain peaks like Swargarohini, Bandarpoonch, and Black Peak. For people who wish to do a weekend trek from Dehradun and would like to venture into the world of trekking in the Himalayas, the Nag Tibba Trek is ideal for beginners and experienced trekkers alike. Stay on this page for everything you need to know about the Nag Tibba trek including Nag Tibba route map, itinerary, temperature chart, photos, videos, and reviews. Scroll to the end to read Nag Tibba trek blogs.
                    
",Nag Tibba Summer Hike,"May,Jun,Jul,Aug,Sep,Oct",Easy
64,Kedartal Trek,Uttarakhand,7,4,38 KM,4800 mts.,15800,Gangotri to Gangotri,"
Brief Description 

                        Kedar Tal, also known as Shiva's lake, is a glacial lake situated at an altitude of 4,750 meters (15,600 feet) in the Garhwal region of the Himalayas in India. The lake is fed by the snowfall over Mt Thalay Sagar (6,904m), Meru (6,672m),  Mt Bhrigupanth (6,772m) and other surrounding peaks, which are also the source of Kedar Ganga, which in Hindu mythology is considered to be Lord Shiva's contribution to Bhagirathi (a source-stream of the Ganges). The proximity with magnificent peaks and the view this trek offers will make you believe in magic. The lake itself is crystal-clear blue, the coolest drink of water you'll ever find and a true gem of Uttarakhand.

Adding to the allure of this trek is the trailhead of Gangotri, where the trail begins, and also the holy town said to be the origin of the Ganges River. The place bursts to life during yatra season, with markets, temples, nightly aartis and forests full of sadhus. Save a few days to explore here after your trek.

The best time to do the Kedartal trek are the months of May, June, September and, October. Stay on this page for more details like Kedar Tal trek route map, itinerary, temperature chart, photos, and videos. Scroll to the end to read Kedartal trek blogs.
                    
",Kedartal Trek,"May,Jun,Sep,Oct",Moderate
65,Black Peak (Kalanag) Expedition,Uttarakhand,16,7,72 KM,6387 mts.,85000,Sankri to Sankri,"
Brief Description 

                        One amongst the many impressive mountains in the Garhwal Himalayas, is Black Peak – the highest peak in the Saraswati Range of mountains in the Ruinsara Valley. Called Kalanag in the local dialect – named so for the uncanny resemblance of the head of the peak to the head of the black cobra – it is 6,287 M of awe-inspiring beauty. The Bandarpunch massif (also called the Saraswati range of mountains) consists of 3 peaks: White Peak or Bandarpunch II at 6,102M, Banderpunch I at 6,316M and Kalanag (Black Peak) at 6,287M. Daunting for its structure and the nature of climbing required to get to its top, Black Peak dominates the Bandarpunch massif bringing it up the ranks on every mountaineer’s list of peaks to scale.  
For the magnificent location in which it is housed, Black Peak has some of the most reverential mountains in its vicinity. All the major peaks of the Garhwal range like Swargarohini, Bhagirathi Massif, Bandarpunch, Gangotri range of mountains and many more keep you company along the trail. The trail itself, for passing through Govind National Park which is known for its diverse flora and fauna, boasts of insurmountable beauty across an assortment of landscapes ranging from alpine meadows to pine forests to moraine ridges, boulders and glacial basins. 
Black Peak offers the right mix of beauty and challenge. A technical expedition overall, the most demanding section of the climb is the 75 feet vertical ice wall with a 70 degree gradient which comes on your way to the summit. Walking across crevassed snowfields, navigating glaciers, miles of rocky moraines and the continuously thinning air of the altitude, Black Peak is an overall challenging endeavor which requires knowledge of mountaineering equipment and skills specific to surviving at this altitude. Hence, it is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively vast experience in high-altitude trekking and extreme temperature is a mandate to undertake this challenging expedition.
Stay on this page for information on Black Peak expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Black Peak (Kalanag) Peak,"May,Jun,Sep",Pro
66,Mt Satopanth Expedition,Uttarakhand,20,8,81 KM,7075 mts.,223000,Uttarkashi to Uttarkashi,"
Brief Description 

                        If you are looking to enter the big league of the 7000ers, Mount Satopanth, as a perfect marriage of altitude and technicality is the best place to start. As the second highest peak in the Gangotri National Park in Uttarakhand, Mount Satopanth is 7,075 meters of pure beauty. Its daunting structure, unnerving slopes and unpredictable weather all lend to the strength of the peak and the thrill it offers. This handsome mountain is part of the Garhwal Range of Himalayas and its name, in the local dialect, literally translates to ‘true path’.
For what it delivers in terms of high-altitude experience, Mt. Satopanth is looked at as a holy grail for climbers who aspire to go higher up to the 8000ers. A stepping stone for some and for some a challenge in and of itself, the mountain is a thing of beauty and does its share in lending you a dream. First scaled way back in 1947 by a Swiss expedition led by Andre Roch, it is a technical climb which requires navigating difficult terrain in extremely cold temperatures and the thin air that comes with its soaring altitude.

The nature of the mountain, its crevasse- riddled surface, complex glacier approach, high angled snow slopes, patches of difficult ice and rock negotiations, technical knife ridges, constantly changing weather, high altitude and strong winds make it a demanding climb. While it is welcoming, the mountain only invites those with true grit and a heart of a team player.

Since it is a technical climb which requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature with one summit of over 6,500M to your credit is a necessity.  

Stay on this page for information on Mt. Satopanth expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Satopanth Peak,"May,Jun,Sep,Oct",Pro
67,Mt. Nanda Ghunti,Uttarakhand,16,7,35 KM,6309 mts.,150000,Sutol to Sutol,"
Brief Description 

                        Mt. Nanda Ghunti (6309 M) otherwise known as the ""Veil of Goddess Nanda Devi"" is a peak in the Garhwal Himalayas lying in the Nanda Devi National Park. You will get a glimpse of this mighty peak from the famous Roopkund trail along with the mighty trident shaped Trishul massif. Mt. Nanda Ghunti has attracted serious mountaineering enthusiasts looking for a challenge. In spite of not being technically difficult, the mountain is infamous for its unpredictable weather conditions and crevasses en route to the summit. The summit gives you unimaginably gorgeous views of Mt. Trishul, Chaukhamba massif, Kamet, Nanda Devi, Dronagiri and many more. Starting from the famous Roopkund trail, the trail deviates to Homkund which is the base camp of the trek. Mt. Nanda Ghunti expedition is meant only for experienced trekkers and aspiring mountaineers with high fitness level and prior knowledge of roping up procedures and the use of jumars and crampons. The best season to undertake this expedition is June and September to early-October. The approach to the summit is from the eastern ridge crisscrossing glaciers and moraines. Stay on this page for more information on Mt. Nanda Ghunti expedition.
                    
",Mt. Nanda Ghunti Peak,"May,Jun,Sep,Oct",Pro
68,Mt. Shivling ,Uttarakhand,21,8,56 KM,6543 mts.,220000,Gangotri to Gangotri,"
Brief Description 

                        Opposite the triple-peaked Bhagirathi massif, with the lush green meadows of Tapovan at its base, the location of Mt. Shivling lends as much to its popularity as does its 6,543M of pure beauty. Located in the Garhwal range of Himalayas, with its tooth-like jagged peak, the mountain has as much spiritual appeal as it does for climbing. Once referred to as the Indian Matterhorn, you can feel the power and magnanimity of the mountain from its base. An abode of Lord Shiva, its name points to the sacred symbol of Shiv Ling with its base as Tapovan which remains a place of choice for the spiritual yogis to go into long-term meditation despite the harsh conditions of the altitude. 
Starting from the holy mountain town of Gangotri, the trail for this climb is a stunning assortment of landscapes from the lush forests of Chirbasa to massive open grounds of Tapovan onto a glacial terrain to land you straight on its icy slopes. It also offers splendid views of the much revered peaks in the range, adding to its appeal. A stepping stone for some and for some a challenge in and of itself, the mountain is a thing of beauty and does its share in lending you a dream. It is a technical and challenging endeavor taken on by climbers looking to get a taste of high-altitude climbing and for those preparing for 7000+M peaks in the Himalayas. 
Since it is a technical climb which requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature is a mandate to undertake this challenging expedition. 

Stay on this page for information on Mt. Shivling expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Shivling Peak,"Apr,May,Sep",Pro
69,Mt. Bhagirathi 2,Uttarakhand,20,7,78 KM,6512 mts.,180000,Gangotri to Gangotri,"
Brief Description 

                        As the second highest peak in the Bhagirathi Massif, Bhagirathi II is perfect if you want to make a switch from trekking to climbing. Located in the Gangotri National Park in the Garhwal Range of Himalayas, Bhagirathi II is 6,512M of sheer beauty rising over the Gangotri glacier. Most popular amongst its sister peaks- Bhigirathi I (6,856M) and Bhigirathi III (6,454M) which together form the Bhagirathi massif- Bhagirathi II is comparatively less technical but offers some of the best high-altitude climbing experiences with awe-inspiring views of famed peaks in the range, such as Thalaysagar, Shivling and Meru.
The first successful ascent up its icy slopes was made by Austrians Edi Ellmauthaler and Toni Messner way back in 1933. A stepping stone for some and for some a challenge in and of itself, the mountain is a thing of beauty and does its share in lending you a dream. It is a challenging endeavor taken on by climbers looking to get a taste of high-altitude climbing and for those preparing for 7000+M peaks in the Himalayas. 
Since it is a technical climb which requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature is a mandate to undertake this challenging expedition. The best months to climb Bhagirathi II are June and September. 

Stay on this page for information on Bhagirathi II expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Bhagirathi 2 Peak,"May,Jun,Sep,Oct",Pro
70,Mt. Kedar Dome,Uttarakhand,20,8,0 KM,6832 mts.,190000,Gangotri to Gangotri,"
Brief Description 

                        Located in the Garhwal range of Himalayas alongside revered peaks such as the Bhagirathi masiff, Shivling, Satopanth and Gangotri peaks, Mt. Kedar Dome rests at an impressive altitude of 6,832 M. Named for its dome shaped roof, this beautiful peak which lies 2 kms northeast of the religiously significant Kedarnath Peak, takes you very close to the 7000M milestone. 
Starting from the holy mountain town of Gangotri, the trail for this climb is a stunning assortment of landscapes from the lush forests of Chirbasa to massive open grounds of Tapovan onto the glacial terrain of Kirti Glacier before hitting the icy slopes of the mountain itself. We take the standard route which is from the northeastern side of the mountain since it poses fewer challenges as compared to the more treacherous route that is from its eastern face. While altitude is one thrilling yet challenging factor to scale this beauty of a peak, it is meant for climbers looking to get a high-altitude experience with relatively less technical difficulties. 
Although only mildly technical, the climb up Kedar Dome includes having to traverse miles of rocky moraines, navigating the mighty Kirti glacier, walking across crevassed snowfields and an arduous climb up the summit in thinning high-altitude air coupled with violent winds. Given its altitude and terrain, the climb requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude. And so, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature is a mandate to undertake this challenging expedition. The best months to attempt Kedar Dome are June and September.
Stay on this page for information on Mt. Kedar Dome expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Kedar Dome Peak,"Apr,May",Pro
71,Kang Yatse I Peak,Ladakh,14,7,73 KM,6400 mts.,89500,Leh to Leh,"
Brief Description 

                        Located in Hemis National Park in the heart of Markha Valley, Ladakh, Kang Yatse I at a daunting altitude of 6,400M, is a technical peak which is also challenging in other ways. The mountain has two main summits, one of which is Kang Yatse I with the other one being Kang Yatse II which at an altitude of 6,240M is much easier and hence frequently climbed. 
As one of the highest peaks in the vast expanse of the arid terrain of Markha Valley, Kang Yatse I makes itself seen on day 6 of our trek through the valley to get to its base.  The peak is a thing of sheer beauty standing tall in the middle of this dry land of scree and loose rocks that is Markha Valley. 
Starting from the high mountain city of Leh, you are in the presence of beauty from the get-go. The drive up to Skiu, the confluence of the distinctly colored rivers - Zanskar and Indus, the occasional sighting of wildlife that’s endemic to the region, the excruciatingly dry yet gorgeous trek through Markha Valley to finally reach the slopes of this much sought after peak which is 6,400M of beauty that’s hard to ignore once you lay your eyes on it. Passing through quaint settlements scattered across this arid landscape give you a glimpse into the local culture and livelihood of the region. Religious shrines, mani walls, stupas and other signs of the faith of the land and its people, pepper the landscape. The prayer flags add to the color palette of this otherwise monochromatic backdrop. They also lend to a sense of peace to the continuously thinning air as we go up towards the higher reaches of this exquisite peak. This mud civilization is not short of old monasteries, ruined forts and abandoned structures which camouflage themselves amongst the peculiar geographical formations in the region which add to the mystery of the place.
While Kang Yatse II is a favorite amongst trekkers looking for a non-technical trekking peak, Kang Yatse I is meant for experienced mountaineers with technical knowledge, looking for a challenge. The expedition calls for some specific skills of ice and snow climbing, and excellent physical fitness in addition to high levels of stamina. With a steep summit climb, moraines, crevasses, technical boulder sections and a steep couloir that demands extreme fitness and endurance, the expedition requires the use of technical mountaineering equipment and skills suited for its terrain. The summit gives you impressive views of the renowned peaks such as Stok Kangri, Dzo Jongo and the infamous Karakoram Range of mountains. The best months to undertake the Kang Yatse I expedition are July through September. Stay on this page for more information about Kang Yatse I, its route, detailed itinerary and related blog posts. 

                    
",Mt. Kang Yatse I Peak,"Jun,Jul",Pro
72,Mt. Kun Peak,Ladakh,23,8,64 KM,7077 mts.,195000,Leh to Leh,"
Brief Description 

                        If you are looking to shift gears from amateur climbing to hardcore mountaineering, the technical
climb to Mount Kun is a good place to start you off on this journey. As the second highest peak
in the Zanskar Valley of Ladakh, Mount Kun is 7,077 meters of sheer energy. You can feel its
strength from the very moment you lay your eyes on it. It continues to silently exude its authority
by the way of its daunting structure, unnerving slopes, unannounced blizzards and the peculiar
way that it holds you, sometimes gently but on others, decidedly not. This handsome mountain is
part of the Nun Kun massif and stands confidently alongside its taller twin, Mt. Nun, which is
7,135M and the highest peak in the Zanskar region. Mt. Kun lies to the north of its cousin and
the two are separated from each other by a 4 km long snow plateau. The third highest peak in the
massif - Pinnacle Peak (6,930M) – lies to the northeast of Mt. Nun. The massif is located in Suru
valley of the Kargil district about 250 km east of Srinagar.
Himalayas are an inexhaustible treasure house to which devotees of mountaineering have come
for years to quench their thirst for exciting challenges. Amongst the many discovered and
countless undiscovered peaks, stands Mt. Kun which draws climbers from across countries, those
who aspire to go higher up to the 8000ers. A stepping stone for some and a challenge in itself for
others, the mountain is a thing of beauty and does its share in lending you a dream. First scaled
way back in 1913 (the summit of Mt. Nun happened only in 1953), its second successful summit
would only be after fifty eight long years by an Indian Army expedition in the year 1971. Mt.
Kun is a technical climb which requires navigating difficult terrain in extreme cold with throes of
violent winds being a bully - pushing you around in all directions.
The nature of the mountain, it's crevasse-riddled surface, it's very unnerving habit of changing
face every hour thereby changing routes, elaborate glacial formations, high gradient ice walls,
technical patches, knife-edge ridges, constantly changing weather, high altitude and strong winds
make it a much tougher peak to climb than some other 7,000M peaks. Mount Kun is a very
demanding peak.
Since it is a technical climb which requires specific knowledge of mountaineering equipment and
a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for
experienced climbers only. Mountaineering certification or alternatively experience in high-
altitude mountaineering and extreme temperature with one summit of over 6,500M to your credit
is a necessity.
Stay on this page for information on Mt. Kun expedition - Itinerary, Routes, FAQs, and
eligibility criteria.
                    
",Mt. Kun Peak,Aug,Pro
73,Talle Valley Trek,Arunachal Pradesh,6,3,40 KM,2745 mts.,On Request,Ziro to Ziro,"
Brief Description 

                        Talle Valley Trek takes you to the picturesque Ziro Valley of Arunachal Pradesh, a UNESCO recognized site. Known as the land of ancient tribes, the trail winds through dense forests, lush green carpet, fern fields, mountains, river crossings this combing the cultural and traditional uniqueness of the North East. WIth diverse flora and vegetation, bamboo trees, and an awe-inspiring landscape, the Talle Valley Trek is a paradise for nature lover. Perfect for both beginners and experiened trekkers, the Talle Valley Trek is best done between the months of October to March. The highlight of the trek is the rainforests of Arunachal Pradesh with spectacular mountains flanking at a distance. Stay on this page for more information on the Talle Valley Trek.
                    
",Talle Valley Trek,"May,Jun,Sep,Oct",Easy
74,Nag Tibba Trek,Uttrakhand,3,1,19 KM,3004 mts.,3950,Pantwari to Pantwari,"
Brief Description 

If you’re looking for a breather from your hectic work schedule and experience the peace and serenity of the mountains just over the weekend, Nag Tibba is the trek for you. It is a beginner level trek near the charming hill station of Mussoorie and is famous for its stunning sunsets from the campsite and terrific summit views. Resting at 3,022 m and spanning over 19 km, this trek is an absolute delight for all trekkers as it is open for the better part of the year and can be done by anyone with a basic level of fitness.
“Nag Tibba” means the serpent’s peak and is said to be the abode of the serpent God. This short trek is wholesome in its own way. It starts from the quaint village of Pantwari over a rocky uphill trudge and eventually envelopes into a local shepherd’s trail with gradual ascents and steep descents.
The trek runs through dense Rhododendron and Oak forests on snow clad terrain that is challenging to navigate in some sections. After trekking for about 5.5 km, the forest opens up to a small clearing with the Nag Mandir at the centre of it, offering mesmerizing views of the surrounding peaks. This is the campsite for the day.
Tip: The trek is more enjoyable when done over a span of three days instead of two. Find out why here.
Thanks to the open ground, the sunsets from this campsite are magical to behold only to have the magic surpassed by the starlit skies that follow.
Next day, the trek to the summit is steep and rugged but rewards you with glorious views of some prominent Himalayan Peaks like Swargrohini, Bandarpoonch, Black Peak &Gangotri amongst others.
And this is why the Nag Tibba trek is special. It treats you to an outstandingsummit view of an impressive range of snow-clad Garhwalian Peaks on the second day of the trek itself making it a must-do weekend winter trek in the Himalayas.
Although short in duration, the Nag Tibba trek does not fall short on the many attractions it holds. Read more about the Highlights of the Nag Tibba Trek.
The best months to do the Nag Tibba Trek for snow are December to March. The trails are completely snow-laden during these months and can be a challenge to navigate in some sections. We have discussed more about the skillset and gear one requires to complete the Nag Tibba Winter Trek here.

",Nag Tibba Winter Trek,"Jan,Feb,Mar,Nov,Dec",Easy
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
